split,review_fraction,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width
group_company,0.1,cluster_source,source,20,precision,0.8036622583926755,0.36363636363636365,0.8559018388555114,0.49226547521914776
group_company,0.1,cluster_source,source,20,median_relative_reduction_to_p25_true_high_carbon,0.17676767676767674,0.03840058486164602,0.2375166882452829,0.1991161033836369
group_company,0.1,cluster_source,source,20,share_true_high_carbon_with_10pct_opportunity,0.7859872611464969,0.36283950617283955,0.8192809687243523,0.45644146255151274
group_company,0.1,cluster_source,source,20,share_true_high_carbon_with_20pct_opportunity,0.3681528662420382,0.29628325508607195,0.5757754010695187,0.2794921459834468
group_company,0.1,block_issue_quarter,issue_block,12,capture,0.6991150442477876,0.6848525676237396,0.9074263038548753,0.22257373623113574
group_company,0.1,block_issue_quarter,issue_block,12,precision,0.8036622583926755,0.34323323856905946,0.8571428571428571,0.5139096185737977
group_company,0.1,block_issue_quarter,issue_block,12,median_relative_reduction_to_p25_true_high_carbon,0.17676767676767674,0.04878048780487798,0.2917661171862249,0.24298562938134693
group_company,0.1,block_issue_quarter,issue_block,12,share_true_high_carbon_with_10pct_opportunity,0.7859872611464969,0.4249519230769231,0.8259926647426648,0.40104074166574166
group_company,0.1,block_issue_quarter,issue_block,12,share_true_high_carbon_with_20pct_opportunity,0.3681528662420382,0.3235572693012732,0.6444871794871795,0.3209299101859063
group_company,0.2,row_level,row,9825,capture,0.8716814159292036,0.8532535285169639,0.8904677998111427,0.03721427129417876
group_company,0.2,row_level,row,9825,precision,0.5012722646310432,0.4778625954198473,0.5287531806615776,0.05089058524173029
group_company,0.2,row_level,row,9825,median_relative_reduction_to_p25_true_high_carbon,0.18703241895261835,0.17456359102244387,0.1968216312056737,0.022258040183229827
group_company,0.2,row_level,row,9825,share_true_high_carbon_with_10pct_opportunity,0.8153061224489796,0.77926386756238,0.851901402452873,0.07263753489049307
group_company,0.2,row_level,row,9825,share_true_high_carbon_with_20pct_opportunity,0.44693877551020406,0.4015835671865823,0.49087761682800685,0.08929404964142457
group_company,0.2,cluster_company,company,17,capture,0.8716814159292036,0.8550319972656869,0.9931046291922532,0.13807263192656627
group_company,0.2,cluster_company,company,17,precision,0.5012722646310432,0.17409710705730608,0.5421100763782499,0.36801296932094385
group_company,0.2,cluster_company,company,17,median_relative_reduction_to_p25_true_high_carbon,0.18703241895261835,0.07077434138770025,0.29271593079043323,0.22194158940273298
group_company,0.2,cluster_company,company,17,share_true_high_carbon_with_10pct_opportunity,0.8153061224489796,0.45233516483516484,0.8447094538343465,0.39237428899918164
group_company,0.2,cluster_company,company,17,share_true_high_carbon_with_20pct_opportunity,0.44693877551020406,0.4,0.6615384615384615,0.2615384615384615
group_company,0.2,cluster_plant,plant,61,capture,0.8716814159292036,0.8113888608785137,0.9319422516254029,0.1205533907468892
group_company,0.2,cluster_plant,plant,61,precision,0.5012722646310432,0.40868801544984495,0.58971047327235,0.1810224578225051
group_company,0.2,cluster_plant,plant,61,median_relative_reduction_to_p25_true_high_carbon,0.18703241895261835,0.17042606516290731,0.2187593493994077,0.04833328423650038
group_company,0.2,cluster_plant,plant,61,share_true_high_carbon_with_10pct_opportunity,0.8153061224489796,0.7496164366356393,0.8678538609591618,0.11823742432352258
group_company,0.2,cluster_plant,plant,61,share_true_high_carbon_with_20pct_opportunity,0.44693877551020406,0.3612103582476799,0.5608532690104855,0.1996429107628056
group_company,0.2,cluster_source,source,20,capture,0.8716814159292036,0.8544949506134562,0.9932454954954955,0.1387505448820393
group_company,0.2,cluster_source,source,20,precision,0.5012722646310432,0.1999472295514512,0.5395672347147628,0.3396200051633116
group_company,0.2,cluster_source,source,20,median_relative_reduction_to_p25_true_high_carbon,0.18703241895261835,0.055793991416309016,0.269350830078125,0.21355683866181596
group_company,0.2,cluster_source,source,20,share_true_high_carbon_with_10pct_opportunity,0.8153061224489796,0.4166526845637584,0.8387551595663791,0.4221024750026207
group_company,0.2,cluster_source,source,20,share_true_high_carbon_with_20pct_opportunity,0.44693877551020406,0.37136271529888554,0.5932632482299935,0.221900532931108
group_company,0.2,block_issue_quarter,issue_block,12,capture,0.8716814159292036,0.8610219016369176,0.9922580369357045,0.13123613529878686
group_company,0.2,block_issue_quarter,issue_block,12,precision,0.5012722646310432,0.19432299400538963,0.5452333828137886,0.350910388808399
group_company,0.2,block_issue_quarter,issue_block,12,median_relative_reduction_to_p25_true_high_carbon,0.18703241895261835,0.06749974177110585,0.32178346571787114,0.2542837239467653
group_company,0.2,block_issue_quarter,issue_block,12,share_true_high_carbon_with_10pct_opportunity,0.8153061224489796,0.4675108225108225,0.845240617433414,0.37772979492259157
group_company,0.2,block_issue_quarter,issue_block,12,share_true_high_carbon_with_20pct_opportunity,0.44693877551020406,0.3902439024390244,0.6944746376811594,0.30423073524213495
group_epd_source,0.1,row_level,row,4574,capture,0.6993987975951904,0.6599577347483956,0.7361708654222686,0.07621313067387303
group_epd_source,0.1,row_level,row,4574,precision,0.7620087336244541,0.7096069868995634,0.8035480349344978,0.09394104803493442
group_epd_source,0.1,row_level,row,4574,median_relative_reduction_to_p25_true_high_carbon,0.29080067087871775,0.20383010149977276,0.3243603355103298,0.12053023401055701
group_epd_source,0.1,row_level,row,4574,share_true_high_carbon_with_10pct_opportunity,0.6896551724137931,0.5982022713476325,0.7278171390013496,0.1296148676537171
group_epd_source,0.1,row_level,row,4574,share_true_high_carbon_with_20pct_opportunity,0.5977011494252874,0.5028707849114117,0.643290905304805,0.14042012039339336
group_epd_source,0.1,cluster_company,company,26,capture,0.6993987975951904,0.4913675496766802,0.8975158022957224,0.40614825261904214
group_epd_source,0.1,cluster_company,company,26,precision,0.7620087336244541,0.5659821578858778,0.8850621820237422,0.3190800241378644
group_epd_source,0.1,cluster_company,company,26,median_relative_reduction_to_p25_true_high_carbon,0.29080067087871775,0.08982167956443782,0.3489640115914787,0.2591423320270409
group_epd_source,0.1,cluster_company,company,26,share_true_high_carbon_with_10pct_opportunity,0.6896551724137931,0.4834305021411232,0.7630978028302026,0.27966730068907936
group_epd_source,0.1,cluster_company,company,26,share_true_high_carbon_with_20pct_opportunity,0.5977011494252874,0.37174317617866004,0.6870114173767418,0.3152682411980817
group_epd_source,0.1,cluster_plant,plant,167,capture,0.6993987975951904,0.6045614588143359,0.7953514799154333,0.19079002110109744
group_epd_source,0.1,cluster_plant,plant,167,precision,0.7620087336244541,0.6810481997677119,0.8227764191015574,0.1417282193338455
group_epd_source,0.1,cluster_plant,plant,167,median_relative_reduction_to_p25_true_high_carbon,0.29080067087871775,0.1809872029250457,0.3382772663517673,0.1572900634267216
group_epd_source,0.1,cluster_plant,plant,167,share_true_high_carbon_with_10pct_opportunity,0.6896551724137931,0.5893321428571429,0.7533875338753387,0.16405539101819588
group_epd_source,0.1,cluster_plant,plant,167,share_true_high_carbon_with_20pct_opportunity,0.5977011494252874,0.48351565851565853,0.6774508379347088,0.1939351794190503
group_epd_source,0.1,cluster_source,source,17,capture,0.6993987975951904,0.4840907485875706,0.8990414915966387,0.4149507430090681
group_epd_source,0.1,cluster_source,source,17,precision,0.7620087336244541,0.5745746066424385,0.8714294895336027,0.29685488289116413
group_epd_source,0.1,cluster_source,source,17,median_relative_reduction_to_p25_true_high_carbon,0.29080067087871775,0.11458333333333333,0.340108600156189,0.22552526682285567
group_epd_source,0.1,cluster_source,source,17,share_true_high_carbon_with_10pct_opportunity,0.6896551724137931,0.5127468085106384,0.7551434087148372,0.24239660020419884
group_epd_source,0.1,cluster_source,source,17,share_true_high_carbon_with_20pct_opportunity,0.5977011494252874,0.39883767595088354,0.6838275539690634,0.2849898780181798
group_epd_source,0.1,block_issue_quarter,issue_block,20,capture,0.6993987975951904,0.555840268652358,0.8672706235377886,0.3114303548854306
group_epd_source,0.1,block_issue_quarter,issue_block,20,precision,0.7620087336244541,0.64544850252051,0.8134207440571367,0.1679722415366267
group_epd_source,0.1,block_issue_quarter,issue_block,20,median_relative_reduction_to_p25_true_high_carbon,0.29080067087871775,0.0908593142968143,0.31359335839598995,0.22273404409917563
group_epd_source,0.1,block_issue_quarter,issue_block,20,share_true_high_carbon_with_10pct_opportunity,0.6896551724137931,0.48593110305298864,0.7313523844193666,0.24542128136637792
group_epd_source,0.1,block_issue_quarter,issue_block,20,share_true_high_carbon_with_20pct_opportunity,0.5977011494252874,0.4060724731881703,0.6496399518297329,0.24356747864156258
group_epd_source,0.2,row_level,row,4574,capture,0.8937875751503006,0.8638064935373692,0.9192191616442311,0.05541266810686196
group_epd_source,0.2,row_level,row,4574,precision,0.48743169398907105,0.4491803278688525,0.5245901639344263,0.07540983606557378
group_epd_source,0.2,row_level,row,4574,median_relative_reduction_to_p25_true_high_carbon,0.32458233890214794,0.26184375448812514,0.3427971385361164,0.08095338404799124
group_epd_source,0.2,row_level,row,4574,share_true_high_carbon_with_10pct_opportunity,0.755056179775281,0.6681240657698058,0.7827178918642334,0.11459382609442759
group_epd_source,0.2,row_level,row,4574,share_true_high_carbon_with_20pct_opportunity,0.6741573033707865,0.5826184027032826,0.7046995845317993,0.12208118182851668
group_epd_source,0.2,cluster_company,company,26,capture,0.8937875751503006,0.7670709070242361,0.9630842490842491,0.19601334206001297
group_epd_source,0.2,cluster_company,company,26,precision,0.48743169398907105,0.3097859031063645,0.6573434252864208,0.34755752218005626
