split,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width,n_test,prevalence,n_companies,n_plants,n_sources
group_company,block_issue_quarter,issue_block,12,top_10pct_share_opportunity_ge_10,0.7834394904458599,0.4473287888395688,0.813271543963888,0.36594275512431923,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_20pct_capture,0.8716814159292036,0.8610973226166845,0.9924691276931161,0.13137180507643165,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_20pct_precision,0.5012722646310432,0.19665384615384615,0.5751185840556104,0.37846473790176427,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_20pct_lift,4.3584070796460175,4.305682294918327,4.968357219185214,0.662674924266887,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_20pct_review_saving,0.7705583756345178,0.7677487718807688,0.7987262276140857,0.030977455733316894,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_20pct_median_opportunity,0.18574324324324318,0.13616071428571433,0.2754838709677421,0.13932315668202774,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_20pct_share_opportunity_ge_10,0.813265306122449,0.5263157894736842,0.8360876316889331,0.3097718422152489,9825,0.11501272264631043,17,61,20
group_epd_source,row_level,row,4574,top_10pct_capture,0.6993987975951904,0.6629808094759752,0.7359072197296816,0.0729264102537065,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_10pct_precision,0.7636761487964989,0.7089715536105032,0.8074398249452954,0.09846827133479219,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_10pct_lift,7.000109628447267,6.635610990247507,7.3655133983447785,0.7299024080972716,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_10pct_review_saving,0.857145094423069,0.8492979769192329,0.864232136530639,0.014934159611406095,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_10pct_median_opportunity,0.29072681704260667,0.25799272231170167,0.33248730964467005,0.07449458733296838,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_10pct_share_opportunity_ge_10,0.6811594202898551,0.632206787033835,0.7315687969245852,0.09936200989075017,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_20pct_capture,0.8937875751503006,0.8667728946157386,0.9192624223602484,0.05248952774450977,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_20pct_precision,0.48743169398907105,0.4458743169398907,0.5234972677595628,0.07762295081967213,4574,0.10909488412767818,26,167,17
group_epd_source,row_level,row,4574,top_20pct_lift,4.467961058729481,4.332917180297693,4.595307453416149,0.26239027311845575,4574,0.10909488412767818,26,167,17
