row_index,y_true,model_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
42905,1,0.3996888908606748,0.08432859071554678,Silvi Materials,Englishtown Plant,NJ,Eastern Region,filler,3500.0,3500,28.0,standard_28,157.42857142857142,strict_group,21.0,108.28571428571429,99.14285714285714,49.142857142857125,0.3121597096188747,58.28571428571428,0.3702359346642468,True,True,True
33344,0,0.3995814377620443,0.08432859071554678,Ingram Ready Mix,Pearland #35 LLC Plant,TX,South Central Region,other_or_unspecified,4500.0,4500,28.0,standard_28,119.11111111111111,strict_group,47.0,64.66666666666667,61.6,54.44444444444444,0.45708955223880593,57.51111111111111,0.4828358208955224,True,True,True
4540,0,0.3982764812724834,0.08432859071554678,"Callanan Industries, Inc.",Port of Albany Plant,NY,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,123.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,32.0,0.2594594594594595,44.26666666666665,0.3589189189189188,True,True,True
7549,0,0.3975300283793164,0.08432859071554678,CEMEX,East Plant/East Naples/East Trail Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,109.0,strict_group,701.0,91.66666666666667,82.66666666666667,17.33333333333333,0.1590214067278287,26.33333333333333,0.24159021406727824,True,True,False
9907,0,0.3959377175406587,0.08432859071554678,CEMEX,McIntosh Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,118.66666666666667,strict_group,701.0,91.66666666666667,82.66666666666667,27.0,0.22752808988764045,36.0,0.3033707865168539,True,True,True
33908,0,0.3940594330995465,0.08432859071554678,Knife River Corporation,Sundial Plant,OR,Pacific Northwest Region,other_or_unspecified,3500.0,3500,28.0,standard_28,96.0,strict_group,339.0,68.59126984126985,58.0,27.40873015873015,0.28550760582010576,38.0,0.3958333333333333,True,True,True
42525,0,0.3922783050391263,0.08432859071554678,Robertson's Ready Mix,Rialto Plant,CA,Pacific Southwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,101.0,strict_group,89.0,92.0,80.53333333333333,9.0,0.0891089108910891,20.46666666666667,0.20264026402640267,True,False,False
5964,0,0.3899985601571046,0.08432859071554678,CEMEX,Brooksville Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,114.66666666666667,strict_group,701.0,91.66666666666667,82.66666666666667,23.0,0.2005813953488372,32.0,0.27906976744186046,True,True,True
5916,1,0.3899559383872627,0.08432859071554678,CEMEX,Brewton Plant,AL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,125.0,strict_group,701.0,91.66666666666667,82.66666666666667,33.33333333333333,0.2666666666666666,42.33333333333333,0.3386666666666666,True,True,True
11731,0,0.3896101863188648,0.08432859071554678,CEMEX,Orlando (Atlanta Ave) Plant,FL,Southeastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,112.4,strict_group,212.0,92.7,82.88,19.700000000000003,0.17526690391459077,29.52000000000001,0.2626334519572954,True,True,False
45359,0,0.3884814550368768,0.08432859071554678,Titan Virginia Ready-Mix,Leesburg RM Plant,VA,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,116.75,strict_group,636.0,74.75,60.75,42.0,0.35974304068522484,56.0,0.4796573875802998,True,True,True
45978,0,0.3884814550368768,0.08432859071554678,Titan Virginia Ready-Mix,Sterling RM (Plant 1),VA,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,115.75,strict_group,636.0,74.75,60.75,41.0,0.3542116630669546,55.0,0.47516198704103674,True,True,True
45102,0,0.3884814550368768,0.08432859071554678,Titan Virginia Ready-Mix,Centreville RM Plant,VA,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,116.75,strict_group,636.0,74.75,60.75,42.0,0.35974304068522484,56.0,0.4796573875802998,True,True,True
9461,0,0.3880721213220402,0.08432859071554678,CEMEX,Livingston Plant,AL,Southeastern Region,filler,3000.0,3000,28.0,standard_28,113.33333333333333,strict_group,44.0,117.25,105.0,0.0,0.0,8.333333333333329,0.07352941176470584,True,False,False
2022,0,0.3875704838711196,0.08432859071554678,Bonded Concrete Inc. / The Clemente Group,Pleasant Valley Plant,NY,Eastern Region,other_or_unspecified,3500.0,3500,28.0,standard_28,104.85714285714286,strict_group,117.0,95.71428571428571,84.05714285714286,9.142857142857153,0.08719346049046331,20.799999999999997,0.19836512261580377,True,False,False
22113,0,0.3847267228184928,0.08432859071554678,Conewago Manufacturing,Conewago Manufacturing Plant,PA,Eastern Region,filler,3000.0,3000,28.0,standard_28,110.0,strict_group,28.0,94.5,30.75,15.5,0.1409090909090909,79.25,0.7204545454545455,True,True,False
16178,0,0.3845659851689588,0.08432859071554678,CEMEX,Winter Park Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,118.0,strict_group,701.0,91.66666666666667,82.66666666666667,26.33333333333333,0.22316384180790957,35.33333333333333,0.29943502824858753,True,True,True
33727,1,0.3827968902438468,0.08432859071554678,Knife River Corporation,McMinnville (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,138.33333333333334,strict_group,395.0,71.0,64.13333333333334,67.33333333333334,0.48674698795180726,74.2,0.5363855421686747,True,True,True
8289,0,0.3813001358691372,0.08432859071554678,CEMEX,Habersham Plant,GA,Southeastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,118.25,strict_group,440.0,77.6875,69.75,40.5625,0.3430232558139535,48.5,0.41014799154334036,True,True,True
4539,1,0.380785829214527,0.08432859071554678,"Callanan Industries, Inc.",Port of Albany Plant,NY,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,125.66666666666667,strict_group,295.0,91.33333333333333,79.06666666666668,34.33333333333334,0.2732095490716181,46.599999999999994,0.3708222811671087,True,True,True
5911,1,0.379435185387415,0.08432859071554678,CEMEX,Brewton Plant,AL,Southeastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,137.6,strict_group,212.0,92.7,82.88,44.89999999999999,0.3263081395348837,54.72,0.3976744186046512,True,True,True
33745,1,0.3790552339834098,0.08432859071554678,Knife River Corporation,McMinnville (Oregon) Plant,OR,Pacific Northwest Region,hardscape,3300.0,3500,28.0,standard_28,156.66666666666669,strict_group,9.0,82.85714285714286,80.11428571428571,73.80952380952382,0.4711246200607903,76.55238095238097,0.48863221884498487,True,True,True
44162,0,0.3789969996914258,0.08432859071554678,Tec-Crete Transit Mix Corp.,Long Island City Plant,NY,Eastern Region,other_or_unspecified,4000.0,4000,28.0,standard_28,108.0,strict_group,636.0,74.75,60.75,33.25,0.30787037037037035,47.25,0.4375,True,True,True
12065,1,0.3787159597228557,0.08432859071554678,CEMEX,Pembroke Pines Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,127.66666666666667,strict_group,701.0,91.66666666666667,82.66666666666667,36.0,0.2819843342036553,45.0,0.3524804177545692,True,True,True
6147,0,0.3786129533988888,0.08432859071554678,CEMEX,Card Sound Mine Plant,FL,Southeastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,102.4,strict_group,212.0,92.7,82.88,9.700000000000003,0.09472656250000003,19.52000000000001,0.1906250000000001,True,False,False
46801,0,0.3775843078827475,0.08432859071554678,US Concrete Mix / Smyrna Ready Mix,Long Island City Plant,NY,Eastern Region,other_or_unspecified,5000.0,5000,28.0,standard_28,108.4,strict_group,282.0,69.05,57.839999999999996,39.35000000000001,0.3630073800738008,50.56000000000001,0.46642066420664213,True,True,True
33775,0,0.3761475245021228,0.08432859071554678,Knife River Corporation,Nampa (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,118.33333333333333,strict_group,395.0,71.0,64.13333333333334,47.33333333333333,0.39999999999999997,54.19999999999999,0.45802816901408444,True,True,True
41350,0,0.3757141519611873,0.08432859071554678,"Prairie Material, LLC",Yard 32 Plant,IL,Great Lakes Region,other_or_unspecified,2000.0,2000,28.0,standard_28,98.0,national_spec_group,44.0,106.75,96.6,0.0,0.0,1.4000000000000057,0.014285714285714344,True,False,False
2016,0,0.3746091041268155,0.08432859071554678,Bonded Concrete Inc. / The Clemente Group,Pleasant Valley Plant,NY,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,100.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,9.0,0.08970099667774087,21.26666666666665,0.2119601328903653,True,False,False
5129,1,0.3705991200586943,0.08432859071554678,CEMEX,Andalusia Plant,AL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,126.0,strict_group,701.0,91.66666666666667,82.66666666666667,34.33333333333333,0.27248677248677244,43.33333333333333,0.3439153439153439,True,True,True
33990,1,0.3701850729890553,0.08432859071554678,Knife River Corporation,Woodburn (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3500.0,3500,28.0,standard_28,130.0,strict_group,339.0,68.59126984126985,58.0,61.40873015873015,0.4723748473748473,72.0,0.5538461538461539,True,True,True
33957,0,0.3696063687441797,0.08432859071554678,Knife River Corporation,Wheatland (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3500.0,3500,28.0,standard_28,122.0,strict_group,339.0,68.59126984126985,58.0,53.40873015873015,0.43777647671090286,64.0,0.5245901639344263,True,True,True
516,0,0.3651987614272965,0.08432859071554678,American Rock Products (ARP),Hermiston Plant,OR,Pacific Northwest Region,filler,3000.0,3000,28.0,standard_28,106.66666666666667,strict_group,16.0,106.91666666666667,89.33333333333334,0.0,0.0,17.33333333333333,0.16249999999999995,True,False,False
33959,1,0.3641605745607832,0.08432859071554678,Knife River Corporation,Wheatland (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3500.0,3500,28.0,standard_28,126.57142857142857,strict_group,339.0,68.59126984126985,58.0,57.98015873015872,0.45808251818409823,68.57142857142857,0.5417607223476298,True,True,True
